Num_Bits,Method,Alpha,Avg_Time
1,Baseline (Random),0.0,0.7165695190429687
1,Ours (Guided),3.0,0.22322409152984618
2,Baseline (Random),0.0,0.2610039710998535
2,Ours (Guided),3.0,0.35220537185668943
3,Baseline (Random),0.0,0.44786574840545657
3,Ours (Guided),3.0,0.31541440486907957
4,Baseline (Random),0.0,0.4066318511962891
4,Ours (Guided),3.0,0.368343186378479
5,Baseline (Random),0.0,0.510632848739624
5,Ours (Guided),3.0,0.4942899227142334
6,Baseline (Random),0.0,0.4801484107971191
6,Ours (Guided),3.0,0.5353014945983887
8,Baseline (Random),0.0,0.5209659576416016
8,Ours (Guided),3.0,0.5736418962478638
